"sppN","year","pct","taxon","country"
2843,2002,0,"all_vertebrate","amazon"
2927,2003,0,"all_vertebrate","amazon"
2975,2004,0,"all_vertebrate","amazon"
2994,2005,0,"all_vertebrate","amazon"
3006,2006,0,"all_vertebrate","amazon"
3012,2007,0,"all_vertebrate","amazon"
3013,2008,0,"all_vertebrate","amazon"
3015,2009,0,"all_vertebrate","amazon"
3018,2010,0,"all_vertebrate","amazon"
3018,2011,0,"all_vertebrate","amazon"
3018,2012,0,"all_vertebrate","amazon"
3019,2013,0,"all_vertebrate","amazon"
3020,2014,0,"all_vertebrate","amazon"
3025,2015,0,"all_vertebrate","amazon"
3026,2016,0,"all_vertebrate","amazon"
3026,2017,0,"all_vertebrate","amazon"
3027,2018,0,"all_vertebrate","amazon"
3028,2019,0,"all_vertebrate","amazon"
1802,2002,0,"all_vertebrate","brazil"
1815,2003,0,"all_vertebrate","brazil"
1818,2004,0,"all_vertebrate","brazil"
1818,2005,0,"all_vertebrate","brazil"
1819,2006,0,"all_vertebrate","brazil"
1829,2007,0,"all_vertebrate","brazil"
1829,2008,0,"all_vertebrate","brazil"
1829,2009,0,"all_vertebrate","brazil"
1829,2010,0,"all_vertebrate","brazil"
1829,2011,0,"all_vertebrate","brazil"
1829,2012,0,"all_vertebrate","brazil"
1829,2013,0,"all_vertebrate","brazil"
1829,2014,0,"all_vertebrate","brazil"
1830,2015,0,"all_vertebrate","brazil"
1830,2016,0,"all_vertebrate","brazil"
1830,2017,0,"all_vertebrate","brazil"
1830,2018,0,"all_vertebrate","brazil"
1830,2019,0,"all_vertebrate","brazil"
0,2002,5,"all_vertebrate","amazon"
2,2003,5,"all_vertebrate","amazon"
22,2004,5,"all_vertebrate","amazon"
67,2005,5,"all_vertebrate","amazon"
116,2006,5,"all_vertebrate","amazon"
180,2007,5,"all_vertebrate","amazon"
220,2008,5,"all_vertebrate","amazon"
244,2009,5,"all_vertebrate","amazon"
303,2010,5,"all_vertebrate","amazon"
322,2011,5,"all_vertebrate","amazon"
347,2012,5,"all_vertebrate","amazon"
358,2013,5,"all_vertebrate","amazon"
386,2014,5,"all_vertebrate","amazon"
429,2015,5,"all_vertebrate","amazon"
476,2016,5,"all_vertebrate","amazon"
520,2017,5,"all_vertebrate","amazon"
551,2018,5,"all_vertebrate","amazon"
604,2019,5,"all_vertebrate","amazon"
0,2002,5,"all_vertebrate","brazil"
2,2003,5,"all_vertebrate","brazil"
18,2004,5,"all_vertebrate","brazil"
49,2005,5,"all_vertebrate","brazil"
88,2006,5,"all_vertebrate","brazil"
128,2007,5,"all_vertebrate","brazil"
147,2008,5,"all_vertebrate","brazil"
159,2009,5,"all_vertebrate","brazil"
195,2010,5,"all_vertebrate","brazil"
202,2011,5,"all_vertebrate","brazil"
218,2012,5,"all_vertebrate","brazil"
223,2013,5,"all_vertebrate","brazil"
234,2014,5,"all_vertebrate","brazil"
255,2015,5,"all_vertebrate","brazil"
268,2016,5,"all_vertebrate","brazil"
294,2017,5,"all_vertebrate","brazil"
307,2018,5,"all_vertebrate","brazil"
333,2019,5,"all_vertebrate","brazil"
0,2002,10,"all_vertebrate","amazon"
0,2003,10,"all_vertebrate","amazon"
1,2004,10,"all_vertebrate","amazon"
3,2005,10,"all_vertebrate","amazon"
6,2006,10,"all_vertebrate","amazon"
13,2007,10,"all_vertebrate","amazon"
17,2008,10,"all_vertebrate","amazon"
21,2009,10,"all_vertebrate","amazon"
27,2010,10,"all_vertebrate","amazon"
32,2011,10,"all_vertebrate","amazon"
40,2012,10,"all_vertebrate","amazon"
44,2013,10,"all_vertebrate","amazon"
48,2014,10,"all_vertebrate","amazon"
59,2015,10,"all_vertebrate","amazon"
72,2016,10,"all_vertebrate","amazon"
83,2017,10,"all_vertebrate","amazon"
94,2018,10,"all_vertebrate","amazon"
111,2019,10,"all_vertebrate","amazon"
0,2002,10,"all_vertebrate","brazil"
0,2003,10,"all_vertebrate","brazil"
1,2004,10,"all_vertebrate","brazil"
3,2005,10,"all_vertebrate","brazil"
5,2006,10,"all_vertebrate","brazil"
10,2007,10,"all_vertebrate","brazil"
11,2008,10,"all_vertebrate","brazil"
12,2009,10,"all_vertebrate","brazil"
14,2010,10,"all_vertebrate","brazil"
16,2011,10,"all_vertebrate","brazil"
20,2012,10,"all_vertebrate","brazil"
22,2013,10,"all_vertebrate","brazil"
26,2014,10,"all_vertebrate","brazil"
30,2015,10,"all_vertebrate","brazil"
39,2016,10,"all_vertebrate","brazil"
47,2017,10,"all_vertebrate","brazil"
59,2018,10,"all_vertebrate","brazil"
71,2019,10,"all_vertebrate","brazil"
0,2002,15,"all_vertebrate","amazon"
0,2003,15,"all_vertebrate","amazon"
0,2004,15,"all_vertebrate","amazon"
0,2005,15,"all_vertebrate","amazon"
0,2006,15,"all_vertebrate","amazon"
1,2007,15,"all_vertebrate","amazon"
1,2008,15,"all_vertebrate","amazon"
3,2009,15,"all_vertebrate","amazon"
5,2010,15,"all_vertebrate","amazon"
7,2011,15,"all_vertebrate","amazon"
11,2012,15,"all_vertebrate","amazon"
13,2013,15,"all_vertebrate","amazon"
13,2014,15,"all_vertebrate","amazon"
15,2015,15,"all_vertebrate","amazon"
17,2016,15,"all_vertebrate","amazon"
18,2017,15,"all_vertebrate","amazon"
20,2018,15,"all_vertebrate","amazon"
24,2019,15,"all_vertebrate","amazon"
0,2002,15,"all_vertebrate","brazil"
0,2003,15,"all_vertebrate","brazil"
0,2004,15,"all_vertebrate","brazil"
0,2005,15,"all_vertebrate","brazil"
0,2006,15,"all_vertebrate","brazil"
1,2007,15,"all_vertebrate","brazil"
1,2008,15,"all_vertebrate","brazil"
2,2009,15,"all_vertebrate","brazil"
3,2010,15,"all_vertebrate","brazil"
5,2011,15,"all_vertebrate","brazil"
5,2012,15,"all_vertebrate","brazil"
6,2013,15,"all_vertebrate","brazil"
6,2014,15,"all_vertebrate","brazil"
7,2015,15,"all_vertebrate","brazil"
8,2016,15,"all_vertebrate","brazil"
9,2017,15,"all_vertebrate","brazil"
10,2018,15,"all_vertebrate","brazil"
10,2019,15,"all_vertebrate","brazil"
